TWTR,date,closing,avg
FB,Wed Feb 24 00:00:00 CET 2016,51.360001,289.23471925825237
MSFT,Wed Feb 24 00:00:00 CET 2016,51.360001,89.47011647286826
TWTR,Wed Feb 24 00:00:00 CET 2016,51.360001,65.13804332608696
GOOG,Tue Feb 23 00:00:00 CET 2016,51.18,339.19109097216926
AAPL,Tue Feb 23 00:00:00 CET 2016,51.18,339.19109097216926
AMZN,Tue Feb 23 00:00:00 CET 2016,51.18,243.3598448274965
FB,Tue Feb 23 00:00:00 CET 2016,51.18,288.77337290310066
MSFT,Tue Feb 23 00:00:00 CET 2016,51.18,89.32227818532823
TWTR,Tue Feb 23 00:00:00 CET 2016,51.18,64.84106368085105
GOOG,Mon Feb 22 00:00:00 CET 2016,52.650002,338.91636317833206
AAPL,Mon Feb 22 00:00:00 CET 2016,52.650002,338.91636317833206
AMZN,Mon Feb 22 00:00:00 CET 2016,52.650002,243.11281135233133
FB,Mon Feb 22 00:00:00 CET 2016,52.650002,288.3166545841392
MSFT,Mon Feb 22 00:00:00 CET 2016,52.650002,89.18123096923081
TWTR,Mon Feb 22 00:00:00 CET 2016,52.650002,64.58708322916665
GOOG,Fri Feb 19 00:00:00 CET 2016,51.82,338.6413666618777
AAPL,Fri Feb 19 00:00:00 CET 2016,51.82,338.6413666618777
AMZN,Fri Feb 19 00:00:00 CET 2016,51.82,242.8653432910735
FB,Fri Feb 19 00:00:00 CET 2016,51.82,287.86009733590726
MSFT,Fri Feb 19 00:00:00 CET 2016,51.82,89.0380844904215
TWTR,Fri Feb 19 00:00:00 CET 2016,51.82,64.32653051020408
GOOG,Thu Feb 18 00:00:00 CET 2016,52.189999,338.3672505205745
AAPL,Thu Feb 18 00:00:00 CET 2016,52.189999,338.3672505205745
AMZN,Thu Feb 18 00:00:00 CET 2016,52.189999,242.618992717054
FB,Thu Feb 18 00:00:00 CET 2016,52.189999,287.40601236801535
MSFT,Thu Feb 18 00:00:00 CET 2016,52.189999,88.89744294274811
TWTR,Thu Feb 18 00:00:00 CET 2016,52.189999,64.08379988
GOOG,Wed Feb 17 00:00:00 CET 2016,52.419998,338.09387838623365
AAPL,Wed Feb 17 00:00:00 CET 2016,52.419998,338.09387838623365
AMZN,Wed Feb 17 00:00:00 CET 2016,52.419998,242.37357465935457
FB,Wed Feb 17 00:00:00 CET 2016,52.419998,286.9541161865384
MSFT,Wed Feb 17 00:00:00 CET 2016,52.419998,88.7587454334601
TWTR,Wed Feb 17 00:00:00 CET 2016,52.419998,63.855097882352936
GOOG,Tue Feb 16 00:00:00 CET 2016,51.09,337.8197581585486
AAPL,Tue Feb 16 00:00:00 CET 2016,51.09,337.8197581585486
AMZN,Tue Feb 16 00:00:00 CET 2016,51.09,242.12707520747395
FB,Tue Feb 16 00:00:00 CET 2016,51.09,286.50140195201527
MSFT,Tue Feb 16 00:00:00 CET 2016,51.09,88.6160607916667
TWTR,Tue Feb 16 00:00:00 CET 2016,51.09,63.60961523076923
GOOG,Fri Feb 12 00:00:00 CET 2016,50.5,337.5455980839699
AAPL,Fri Feb 12 00:00:00 CET 2016,50.5,337.5455980839699
AMZN,Fri Feb 12 00:00:00 CET 2016,50.5,241.88045091505765
FB,Fri Feb 12 00:00:00 CET 2016,50.5,286.04929198658994
MSFT,Fri Feb 12 00:00:00 CET 2016,50.5,88.47222660000003
TWTR,Fri Feb 12 00:00:00 CET 2016,50.5,63.362263999999996
GOOG,Thu Feb 11 00:00:00 CET 2016,49.689999,337.27118855195465
AAPL,Thu Feb 11 00:00:00 CET 2016,49.689999,337.27118855195465
AMZN,Thu Feb 11 00:00:00 CET 2016,49.689999,241.6334194858609
FB,Thu Feb 11 00:00:00 CET 2016,49.689999,285.59736217208405
MSFT,Thu Feb 11 00:00:00 CET 2016,49.689999,88.32642875187973
TWTR,Thu Feb 11 00:00:00 CET 2016,49.689999,63.10907390740741
GOOG,Wed Feb 10 00:00:00 CET 2016,49.709999,336.99732075238137
AAPL,Wed Feb 10 00:00:00 CET 2016,49.709999,336.99732075238137
AMZN,Wed Feb 10 00:00:00 CET 2016,49.709999,241.38704795763775
FB,Wed Feb 10 00:00:00 CET 2016,49.709999,285.1471954484732
MSFT,Wed Feb 10 00:00:00 CET 2016,49.709999,88.18179792883898
TWTR,Wed Feb 10 00:00:00 CET 2016,49.709999,62.86545436363637
GOOG,Tue Feb 09 00:00:00 CET 2016,49.279999,336.7235649752621
AAPL,Tue Feb 09 00:00:00 CET 2016,49.279999,336.7235649752621
AMZN,Tue Feb 09 00:00:00 CET 2016,49.279999,241.1407568692305
FB,Tue Feb 09 00:00:00 CET 2016,49.279999,284.69792459809514
MSFT,Tue Feb 09 00:00:00 CET 2016,49.279999,88.03664196268659
TWTR,Tue Feb 09 00:00:00 CET 2016,49.279999,62.62285694642857
GOOG,Mon Feb 08 00:00:00 CET 2016,49.41,336.45045322148326
AAPL,Mon Feb 08 00:00:00 CET 2016,49.41,336.45045322148326
AMZN,Mon Feb 08 00:00:00 CET 2016,49.41,240.8952629423813
FB,Mon Feb 08 00:00:00 CET 2016,49.41,284.25060915209116
MSFT,Mon Feb 08 00:00:00 CET 2016,49.41,87.89304849814128
TWTR,Mon Feb 08 00:00:00 CET 2016,49.41,62.39105243859649
GOOG,Fri Feb 05 00:00:00 CET 2016,50.16,336.17857244919315
AAPL,Fri Feb 05 00:00:00 CET 2016,50.16,336.17857244919315
AMZN,Fri Feb 05 00:00:00 CET 2016,50.16,240.65135595652148
FB,Fri Feb 05 00:00:00 CET 2016,50.16,283.80641444781776
MSFT,Fri Feb 05 00:00:00 CET 2016,50.16,87.75329646666668
TWTR,Fri Feb 05 00:00:00 CET 2016,50.16,62.18017222413793
GOOG,Thu Feb 04 00:00:00 CET 2016,52.0,335.90895331024706
AAPL,Thu Feb 04 00:00:00 CET 2016,52.0,335.90895331024706
