GOOG,date,closing,avg
GOOG,Fri May 01 00:00:00 CEST 2015,537.900024,538.6645061611832
GOOG,Mon Jan 04 00:00:00 CET 2016,105.349998,537.2438028557367
GOOG,Wed Mar 30 00:00:00 CEST 2016,598.690002,537.4446074281036
GOOG,Thu Apr 30 00:00:00 CEST 2015,537.340027,537.4442667752432
GOOG,Thu Dec 31 00:00:00 CET 2015,105.260002,536.0410711103885
GOOG,Tue Mar 29 00:00:00 CEST 2016,593.859985,536.2281873365686
GOOG,Wed Apr 29 00:00:00 CEST 2015,549.080017,536.2696448516118
GOOG,Wed Dec 30 00:00:00 CET 2015,107.32,534.8903855434073
GOOG,Mon Mar 28 00:00:00 CEST 2016,579.869995,535.0345509583323
GOOG,Tue Apr 28 00:00:00 CEST 2015,553.679993,535.0941210607018
GOOG,Tue Dec 29 00:00:00 CET 2015,108.739998,533.7363053821646
GOOG,Thu Mar 24 00:00:00 CET 2016,582.950012,533.8925393714275
GOOG,Mon Apr 27 00:00:00 CEST 2015,555.369995,533.9605060031635
GOOG,Mon Dec 28 00:00:00 CET 2015,106.82,532.6130596119863
GOOG,Wed Mar 23 00:00:00 CET 2016,569.630005,532.7294651006279
GOOG,Fri Apr 24 00:00:00 CEST 2015,565.062561,532.8308227680241
GOOG,Thu Dec 24 00:00:00 CET 2015,108.029999,531.5033201937489
GOOG,Tue Mar 22 00:00:00 CET 2016,560.47998,531.5935901619927
GOOG,Thu Apr 23 00:00:00 CEST 2015,547.002472,531.641443832297
GOOG,Wed Dec 23 00:00:00 CET 2015,108.610001,530.3317489628472
GOOG,Mon Mar 21 00:00:00 CET 2016,553.97998,530.4047373302458
GOOG,Wed Apr 22 00:00:00 CEST 2015,539.367458,530.4323149323066
GOOG,Tue Dec 22 00:00:00 CET 2015,107.230003,529.1341483312873
GOOG,Fri Mar 18 00:00:00 CET 2016,552.080017,529.2043191834852
GOOG,Tue Apr 21 00:00:00 CEST 2015,533.972413,529.218856054877
GOOG,Mon Dec 21 00:00:00 CET 2015,107.330002,527.9365191124609
GOOG,Thu Mar 17 00:00:00 CET 2016,559.440002,528.0319842121202
GOOG,Mon Apr 20 00:00:00 CEST 2015,535.382408,528.0541909305125
GOOG,Fri Dec 18 00:00:00 CET 2015,106.029999,526.7830337259026
GOOG,Wed Mar 16 00:00:00 CET 2016,574.27002,526.9256372882872
GOOG,Fri Apr 17 00:00:00 CEST 2015,524.052386,526.9170347395199
GOOG,Thu Dec 17 00:00:00 CET 2015,108.980003,525.6694615104467
GOOG,Tue Mar 15 00:00:00 CET 2016,577.02002,525.8222905535704
GOOG,Thu Apr 16 00:00:00 CEST 2015,533.802391,525.8459703768535
GOOG,Wed Dec 16 00:00:00 CET 2015,111.339996,524.6196213402357
GOOG,Mon Mar 14 00:00:00 CET 2016,573.369995,524.7634277522112
GOOG,Wed Apr 15 00:00:00 CEST 2015,532.532429,524.7862777558813
GOOG,Tue Dec 15 00:00:00 CET 2015,110.489998,523.5713326539579
GOOG,Fri Mar 11 00:00:00 CET 2016,569.609985,523.7059485964901
GOOG,Tue Apr 14 00:00:00 CEST 2015,530.392405,523.7254426384828
GOOG,Mon Dec 14 00:00:00 CET 2015,112.480003,522.5299617093012
GOOG,Thu Mar 10 00:00:00 CET 2016,558.929993,522.6354690463758
GOOG,Mon Apr 13 00:00:00 CEST 2015,539.172466,522.683263835259
GOOG,Fri Dec 11 00:00:00 CET 2015,113.18,521.5031391556184
GOOG,Wed Mar 09 00:00:00 CET 2016,559.469971,521.6122392471253
GOOG,Fri Apr 10 00:00:00 CEST 2015,540.012416,521.6649618166178
GOOG,Thu Dec 10 00:00:00 CET 2015,116.169998,520.5064047771418
GOOG,Tue Mar 08 00:00:00 CET 2016,560.26001,520.6196629116798
GOOG,Thu Apr 09 00:00:00 CEST 2015,540.782472,520.6769436193171
GOOG,Wed Dec 09 00:00:00 CET 2015,115.620003,519.5294735325767
GOOG,Mon Mar 07 00:00:00 CET 2016,562.799988,519.6517066242927
GOOG,Wed Apr 08 00:00:00 CEST 2015,541.612446,519.7135678619708
GOOG,Tue Dec 08 00:00:00 CET 2015,118.230003,518.5858050393248
