AAPL,date,closing,avg
AAPL,Fri Oct 09 00:00:00 CEST 2015,643.609985,721.7330327213116
GOOG,Thu Oct 08 00:00:00 CEST 2015,639.159973,721.0617070325205
AAPL,Thu Oct 08 00:00:00 CEST 2015,639.159973,721.0617070325205
GOOG,Wed Oct 07 00:00:00 CEST 2015,642.359985,720.4270157258067
AAPL,Wed Oct 07 00:00:00 CEST 2015,642.359985,720.4270157258067
GOOG,Tue Oct 06 00:00:00 CEST 2015,645.440002,719.8271196160002
AAPL,Tue Oct 06 00:00:00 CEST 2015,645.440002,719.8271196160002
GOOG,Mon Oct 05 00:00:00 CEST 2015,641.469971,719.2052374841272
AAPL,Mon Oct 05 00:00:00 CEST 2015,641.469971,719.2052374841272
GOOG,Fri Oct 02 00:00:00 CEST 2015,626.909973,718.4785031181104
AAPL,Fri Oct 02 00:00:00 CEST 2015,626.909973,718.4785031181104
GOOG,Thu Oct 01 00:00:00 CEST 2015,611.289978,717.6410927656252
AAPL,Thu Oct 01 00:00:00 CEST 2015,611.289978,717.6410927656252
GOOG,Wed Sep 30 00:00:00 CEST 2015,608.419983,716.7944174961242
AAPL,Wed Sep 30 00:00:00 CEST 2015,608.419983,716.7944174961242
GOOG,Tue Sep 29 00:00:00 CEST 2015,594.969971,715.857306369231
AAPL,Tue Sep 29 00:00:00 CEST 2015,594.969971,715.857306369231
GOOG,Mon Sep 28 00:00:00 CEST 2015,594.890015,714.9338919312979
AAPL,Mon Sep 28 00:00:00 CEST 2015,594.890015,714.9338919312979
GOOG,Fri Sep 25 00:00:00 CEST 2015,611.969971,714.1538622272728
AAPL,Fri Sep 25 00:00:00 CEST 2015,611.969971,714.1538622272728
GOOG,Thu Sep 24 00:00:00 CEST 2015,625.799988,713.4895473834588
AAPL,Thu Sep 24 00:00:00 CEST 2015,625.799988,713.4895473834588
GOOG,Wed Sep 23 00:00:00 CEST 2015,622.359985,712.8094760223883
AAPL,Wed Sep 23 00:00:00 CEST 2015,622.359985,712.8094760223883
GOOG,Tue Sep 22 00:00:00 CEST 2015,622.690002,712.1419243629632
AAPL,Tue Sep 22 00:00:00 CEST 2015,622.690002,712.1419243629632
GOOG,Mon Sep 21 00:00:00 CEST 2015,635.440002,711.5779396397061
AAPL,Mon Sep 21 00:00:00 CEST 2015,635.440002,711.5779396397061
GOOG,Fri Sep 18 00:00:00 CEST 2015,629.25,710.9770057737228
AAPL,Fri Sep 18 00:00:00 CEST 2015,629.25,710.9770057737228
GOOG,Thu Sep 17 00:00:00 CEST 2015,642.900024,710.4836943115945
AAPL,Thu Sep 17 00:00:00 CEST 2015,642.900024,710.4836943115945
GOOG,Wed Sep 16 00:00:00 CEST 2015,635.97998,709.9476963669067
AAPL,Wed Sep 16 00:00:00 CEST 2015,635.97998,709.9476963669067
GOOG,Tue Sep 15 00:00:00 CEST 2015,635.140015,709.4133557857145
AAPL,Tue Sep 15 00:00:00 CEST 2015,635.140015,709.4133557857145
GOOG,Mon Sep 14 00:00:00 CEST 2015,623.23999,708.8021971631208
AAPL,Mon Sep 14 00:00:00 CEST 2015,623.23999,708.8021971631208
GOOG,Fri Sep 11 00:00:00 CEST 2015,625.77002,708.217463521127
AAPL,Fri Sep 11 00:00:00 CEST 2015,625.77002,708.217463521127
GOOG,Thu Sep 10 00:00:00 CEST 2015,621.349976,707.6099985734268
AAPL,Thu Sep 10 00:00:00 CEST 2015,621.349976,707.6099985734268
GOOG,Wed Sep 09 00:00:00 CEST 2015,612.719971,706.9510400486113
AAPL,Wed Sep 09 00:00:00 CEST 2015,612.719971,706.9510400486113
GOOG,Tue Sep 08 00:00:00 CEST 2015,614.659973,706.3145499310347
AAPL,Tue Sep 08 00:00:00 CEST 2015,614.659973,706.3145499310347
GOOG,Fri Sep 04 00:00:00 CEST 2015,600.700012,705.5911626849318
